,Hourly energy generation in TWh ->,,,,,,,,,,,,,,,,Consumption ->,,,Storage input ->,,,,State of charge ->,,,,Cost ->,,
hour,offshore_f,offshore_g,onshore,pv_g,pv_c,river,lake,biogas1,biogas2,ocgt,ccgt,nuc,h2_ccgt,phs,battery1,battery4,electrolysis,hydrogen,electricity_demand,ElecStr1,ElecStr4,Pump,hydrogen,ElecStr1,ElecStr4,Pump,hydrogen,elec_balance_dual_values,marginal_cost_of_ocgt,marginal_cost_of_ccgt
,floating offshore wind,ground-based offshore wind,onshore wind,pv grounded,pv commercial,run-of-river hydro,lake and reservoirs,biogas for ocgt,biogas for ccgt,open cycle gas-turbine,combined cycle gas turbine,nuclear,combined cycle gas turbine using hydrogen,pumped hydroelectric energy storage,1 hour battery,4 hours battery,electrolysis,hydrogen removed from storage,electricity_demand,battery1,battery4,phs,hydrogen,battery1,battery4,phs,hydrogen,,,
,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-se,GWh-th,GWh-th,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-th,GW,GW-e,GW-e,GW-e,GW-th,GWh-e,GWh-e,GWh-e,GWh-th,Euros/MWe,Euros/MWe,Euros/MWe
20,4.97,16.09,58.94,0.0,0.0,3.72,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,2.64,1.93,85.16,0.0,0.0,0.0,0.0,135.5,0.0,49.55,14029.4,67.79,67.79,67.79
21,4.89,15.64,56.89,0.0,0.0,3.68,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,2.63,1.94,82.55,0.0,0.0,0.0,0.0,135.5,0.0,49.55,14027.47,67.79,67.79,67.79
22,4.8,15.04,55.25,0.0,0.0,3.68,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,3.49,1.08,79.08,0.0,0.0,0.0,0.0,135.5,0.0,49.55,14025.53,67.79,67.79,67.79
23,4.69,14.32,52.89,0.0,0.0,3.59,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,2.14,2.43,77.61,0.0,0.0,0.0,0.0,135.5,0.0,49.55,14024.45,67.79,67.79,67.79
24,4.64,13.75,50.78,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.49,4.07,76.73,0.0,0.0,0.0,0.0,135.5,0.0,49.55,14022.03,67.79,67.79,67.79
25,4.59,13.3,49.46,0.0,0.0,2.71,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,1.47,3.09,73.05,0.0,0.0,0.0,0.0,135.5,0.0,49.55,14017.96,67.79,67.79,67.79
26,4.5,12.84,48.23,0.0,0.0,2.33,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,3.52,1.04,68.16,0.0,0.0,0.0,0.0,135.5,0.0,49.55,14014.86,67.79,67.79,67.79
27,4.46,12.47,47.0,0.0,0.0,2.17,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,3.18,1.38,66.81,0.0,0.0,0.0,0.0,135.5,0.0,49.55,14013.82,67.79,67.79,67.79
28,4.43,12.01,46.77,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,3.11,1.46,66.17,0.0,0.0,0.0,0.0,135.5,0.0,49.55,14012.43,67.79,67.79,67.79
29,4.37,11.34,45.62,0.0,0.0,2.17,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,1.82,2.74,66.04,0.0,0.0,0.0,0.0,135.5,0.0,49.55,14010.97,67.79,67.79,67.79
30,4.27,10.41,43.02,0.0,0.0,2.23,0.0,0.0,3.53,0.0,2.01,4.96,0.0,0.0,0.0,0.0,0.0,4.57,66.9,0.0,0.0,0.0,0.0,135.5,0.0,49.55,14008.23,141.04,141.04,141.04
31,4.11,9.32,39.86,0.98,0.0,2.33,0.0,0.0,14.29,0.0,8.15,4.96,0.66,0.0,0.0,0.0,0.0,5.72,70.37,0.0,0.0,0.0,0.0,135.5,0.0,49.55,14003.66,162.79,162.79,141.04
32,3.87,8.08,34.84,9.74,0.0,2.5,0.0,0.0,14.29,0.0,8.15,4.96,2.55,0.0,0.0,0.0,0.0,9.05,74.68,0.0,0.0,0.0,0.0,135.5,0.0,49.55,13997.94,162.79,162.79,141.04
33,3.42,6.31,28.98,20.52,0.0,2.88,0.0,0.0,14.29,0.0,8.15,4.96,3.46,0.0,0.0,0.0,0.0,10.64,78.67,0.0,0.0,0.0,0.0,135.5,0.0,49.55,13988.89,162.79,162.79,141.04
34,2.83,4.53,26.87,31.98,0.0,3.22,0.0,0.0,11.16,0.0,6.36,4.96,0.0,0.0,0.0,0.0,0.0,4.57,80.75,0.0,0.0,0.0,0.0,135.5,0.0,49.55,13978.26,141.04,141.04,141.04
35,2.44,3.34,27.37,38.95,0.0,3.44,0.0,0.0,2.61,0.0,1.49,4.96,0.0,0.0,0.0,0.0,0.0,4.57,81.99,0.0,0.0,0.0,0.0,135.5,0.0,49.55,13973.69,141.04,141.04,141.04
36,2.14,2.63,27.59,40.21,0.0,3.73,0.0,0.0,4.03,0.0,2.3,4.96,0.0,0.0,0.0,0.0,0.0,4.57,83.56,0.0,0.0,0.0,0.0,135.5,0.0,49.55,13969.12,141.04,141.04,141.04
