,Hourly energy generation in TWh ->,,,,,,,,,,,,,,,,Consumption ->,,,Storage input ->,,,,State of charge ->,,,,Cost ->,,
hour,offshore_f,offshore_g,onshore,pv_g,pv_c,river,lake,biogas1,biogas2,ocgt,ccgt,nuc,h2_ccgt,phs,battery1,battery4,electrolysis,hydrogen,electricity_demand,ElecStr1,ElecStr4,Pump,hydrogen,ElecStr1,ElecStr4,Pump,hydrogen,elec_balance_dual_values,marginal_cost_of_ocgt,marginal_cost_of_ccgt
,floating offshore wind,ground-based offshore wind,onshore wind,pv grounded,pv commercial,run-of-river hydro,lake and reservoirs,biogas for ocgt,biogas for ccgt,open cycle gas-turbine,combined cycle gas turbine,nuclear,combined cycle gas turbine using hydrogen,pumped hydroelectric energy storage,1 hour battery,4 hours battery,electrolysis,hydrogen removed from storage,electricity_demand,battery1,battery4,phs,hydrogen,battery1,battery4,phs,hydrogen,,,
,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-se,GWh-th,GWh-th,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-e,GWh-th,GW,GW-e,GW-e,GW-e,GW-th,GWh-e,GWh-e,GWh-e,GWh-th,Euros/MWe,Euros/MWe,Euros/MWe
2645,3.31,10.9,42.21,1.4,0.0,3.82,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,14.28,0.0,47.55,0.0,0.0,0.0,9.72,17.3,0.0,0.0,8101.28,15.53,15.53,15.53
2646,3.2,9.63,32.91,10.18,0.0,3.96,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,7.63,0.0,48.12,6.55,0.0,0.0,3.07,17.3,0.0,0.0,8110.99,15.53,15.53,15.53
2647,3.07,8.5,26.44,22.98,0.0,4.18,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,-0.0,0.0,6.94,0.0,50.02,6.55,0.0,4.31,2.37,23.2,0.0,0.0,8114.06,15.53,15.53,15.53
2648,2.94,7.93,26.52,35.53,0.0,4.65,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,7.19,0.0,54.03,6.55,-0.0,12.39,2.62,29.09,0.0,3.88,8116.43,15.53,15.53,15.53
2649,2.71,7.71,27.64,46.61,0.0,4.79,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,13.83,0.0,57.04,6.55,0.0,12.39,9.26,34.99,-0.0,15.03,8119.05,15.53,15.53,15.53
2650,2.54,7.46,26.87,55.99,0.0,4.73,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,26.9,0.0,58.93,6.55,0.0,1.19,22.34,40.88,-0.0,26.18,8128.31,15.53,15.53,15.53
2651,2.58,7.45,25.57,59.49,0.0,4.66,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,18.71,0.0,60.84,6.55,-0.0,12.39,14.14,46.77,-0.0,27.25,8150.64,15.53,15.53,15.53
2652,2.66,7.59,24.96,59.61,0.0,4.6,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,15.4,0.0,64.9,6.55,0.0,12.39,10.84,52.67,-0.0,38.4,8164.79,15.53,15.53,15.53
2653,2.6,7.84,24.69,54.59,0.0,4.55,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,-0.0,0.0,18.9,0.0,67.48,6.55,0.0,0.0,14.33,58.56,-0.0,49.55,8175.62,15.53,15.53,15.53
2654,2.26,7.94,23.74,46.56,0.0,4.4,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,10.08,0.0,69.87,6.55,0.0,0.0,5.52,64.45,0.0,49.55,8189.96,15.53,15.53,15.53
2655,1.82,8.29,22.53,34.0,0.0,4.29,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,-0.0,0.0,0.0,4.57,69.49,6.39,0.0,0.0,0.0,70.35,0.0,49.55,8195.47,15.53,15.53,15.53
2656,1.45,9.37,22.83,19.74,0.0,4.12,0.0,0.0,0.0,0.0,0.0,4.96,0.0,4.83,0.0,0.0,0.0,4.57,67.3,0.0,0.0,0.0,0.0,76.1,0.0,49.55,8190.91,19.18,19.18,19.18
2657,1.15,10.31,25.6,6.78,0.0,4.08,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,11.44,0.0,4.57,64.34,0.0,0.0,0.0,0.0,70.74,-0.0,49.55,8186.34,19.18,19.18,19.18
2658,1.0,10.68,30.19,0.44,0.0,4.18,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,-0.0,11.95,0.0,4.57,63.4,0.0,0.0,0.0,0.0,70.74,-0.0,37.51,8181.78,19.18,19.18,19.18
2659,1.02,10.82,33.76,0.0,0.0,4.33,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,11.0,0.0,4.57,65.89,0.0,0.0,0.0,0.0,70.74,0.0,24.93,8177.21,19.18,19.18,19.18
2660,1.26,11.15,35.11,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,4.96,0.0,6.1,0.0,4.83,0.0,4.57,67.97,0.0,0.0,0.0,0.0,70.74,0.0,13.35,8172.64,19.18,19.18,19.18
2661,1.72,12.02,36.05,0.0,0.0,4.48,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,7.85,0.0,4.57,67.08,0.0,0.0,0.0,0.0,63.96,0.0,8.26,8168.08,19.18,19.18,19.18
2662,2.24,12.91,36.91,0.0,0.0,4.38,0.0,0.0,0.0,0.0,0.0,4.96,0.0,2.42,0.0,0.0,0.0,4.57,63.81,0.0,0.0,0.0,0.0,63.96,0.0,0.0,8163.51,19.18,19.18,19.18
2663,2.6,13.41,37.59,0.0,0.0,4.44,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.0,4.57,62.44,0.56,0.0,0.0,0.0,61.27,-0.0,0.0,8158.94,15.53,15.53,15.53
2664,2.78,13.42,37.21,0.0,0.0,4.17,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.0,4.57,58.33,4.2,0.0,0.0,0.0,61.78,0.0,0.0,8154.38,15.53,15.53,15.53
2665,2.84,13.04,35.99,0.0,0.0,3.89,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,5.07,0.0,53.96,0.0,0.0,0.0,0.5,65.56,-0.0,0.0,8149.81,15.53,15.53,15.53
2666,2.79,12.6,35.62,0.0,0.0,3.85,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,-0.0,0.0,3.67,0.9,48.38,6.55,0.0,0.0,0.0,65.56,-0.0,0.0,8150.31,15.53,15.53,15.53
2667,2.68,11.9,34.97,0.0,0.0,3.58,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,4.16,0.41,45.99,6.55,0.0,0.0,0.0,71.46,0.0,0.0,8149.42,15.53,15.53,15.53
2668,2.54,11.0,33.43,0.0,0.0,3.37,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,2.92,1.64,44.86,6.55,0.0,0.0,0.0,77.35,0.0,0.0,8149.01,15.53,15.53,15.53
2669,2.38,10.21,31.33,1.57,0.0,3.37,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,1.98,2.58,44.63,6.55,0.0,0.0,0.0,83.25,0.0,0.0,8147.37,15.53,15.53,15.53
2670,1.89,8.82,25.81,12.39,0.0,3.64,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,10.3,0.0,43.78,0.0,0.0,0.0,5.73,89.14,0.0,0.0,8144.78,15.53,15.53,15.53
2671,1.34,7.59,22.72,29.57,0.0,3.96,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,13.96,0.0,44.97,6.55,0.0,0.0,9.4,89.14,0.0,0.0,8150.52,15.53,15.53,15.53
2672,1.06,6.84,21.76,46.24,0.0,4.26,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,17.63,0.0,48.84,6.55,0.0,6.23,13.06,95.03,0.0,0.0,8159.91,15.53,15.53,15.53
2673,1.04,6.44,20.02,58.78,0.0,4.61,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,18.61,0.0,52.1,6.55,0.0,12.39,14.05,100.93,0.0,5.61,8172.97,15.53,15.53,15.53
2674,0.89,5.66,17.16,66.78,0.0,4.53,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,19.58,0.0,54.95,6.55,0.0,12.39,15.02,106.82,0.0,16.76,8187.02,15.53,15.53,15.53
2675,0.62,4.65,14.88,69.67,0.0,4.35,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,17.05,0.0,57.46,6.55,-0.0,12.39,12.49,112.71,0.0,27.91,8202.04,15.53,15.53,15.53
2676,0.45,3.83,13.98,68.27,0.0,4.34,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,20.29,0.0,62.22,6.55,-0.0,0.0,15.72,118.61,0.0,39.06,8214.53,15.53,15.53,15.53
2677,0.39,3.4,13.96,62.4,0.0,4.08,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,4.57,0.0,64.89,6.55,0.0,11.66,0.0,124.5,0.0,39.06,8230.25,15.53,15.53,15.53
2678,0.37,3.32,14.17,52.37,0.0,3.92,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,4.57,0.0,67.35,5.67,0.0,0.0,0.0,130.39,0.0,49.55,8230.25,15.53,15.53,15.53
2679,0.37,3.43,13.86,38.95,0.0,3.78,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,1.81,0.0,4.57,67.16,0.0,0.0,0.0,0.0,135.5,0.0,49.55,8230.25,40.55,40.55,40.55
2680,0.47,3.8,13.39,22.98,0.0,3.74,4.68,0.0,0.0,0.0,0.0,4.96,11.29,0.0,0.0,0.0,0.0,24.38,65.31,0.0,0.0,0.0,0.0,135.5,0.0,47.65,8225.68,40.55,40.55,40.55
2681,0.68,4.6,14.81,7.81,0.0,3.75,12.86,0.0,0.0,0.0,0.0,4.96,11.4,2.1,-0.0,0.0,0.0,24.57,62.96,0.0,0.0,0.0,0.0,135.5,-0.0,47.65,8201.3,40.55,40.55,40.55
2682,1.04,5.95,20.47,0.57,0.0,3.97,12.86,0.0,0.0,0.0,0.0,4.96,11.4,0.31,0.0,0.0,0.0,24.57,61.52,0.0,0.0,0.0,0.0,133.17,0.0,47.65,8176.74,40.55,40.55,40.55
2683,1.32,6.99,25.14,0.0,0.0,4.37,11.49,0.0,0.0,0.0,0.0,4.96,10.35,0.0,0.0,0.0,0.0,22.73,64.63,0.0,0.0,0.0,0.0,132.83,0.0,47.65,8152.17,40.55,40.55,40.55
2684,1.31,7.1,25.82,0.0,0.0,4.7,11.97,0.0,0.0,0.0,0.0,4.96,11.4,0.0,0.0,0.0,0.0,24.57,67.26,0.0,0.0,0.0,0.0,132.83,0.0,47.65,8129.44,40.55,40.55,40.55
2685,1.1,6.6,24.01,0.0,0.0,4.7,12.86,0.0,0.0,0.0,0.0,4.96,11.4,0.0,0.0,1.56,0.0,24.57,67.18,0.0,0.0,0.0,0.0,132.83,0.0,47.65,8104.87,40.55,40.55,40.55
2686,0.87,5.72,20.99,0.0,0.0,4.37,12.86,0.0,0.0,0.0,0.0,4.96,11.4,0.0,-0.0,2.09,0.0,24.57,63.26,0.0,0.0,0.0,0.0,132.83,0.0,46.01,8080.31,40.55,40.55,40.55
2687,0.7,4.76,17.96,0.0,0.0,4.28,12.86,0.0,0.0,0.0,0.0,4.96,10.39,0.0,0.0,5.78,0.0,22.79,61.68,0.0,0.0,0.0,0.0,132.83,0.0,43.8,8055.74,40.55,40.55,40.55
2688,0.65,4.03,15.46,0.0,0.0,3.95,12.86,0.0,0.0,0.0,0.0,4.96,11.4,0.0,0.0,5.34,0.0,24.57,58.65,0.0,0.0,0.0,0.0,132.83,-0.0,37.72,8032.95,40.55,40.55,40.55
2689,0.71,3.67,13.54,0.0,0.0,3.64,12.86,0.0,0.0,0.0,0.0,4.96,10.96,0.0,0.0,3.9,0.0,23.79,54.24,0.0,0.0,0.0,0.0,132.83,-0.0,32.09,8008.39,40.55,40.55,40.55
2690,0.75,3.66,11.97,0.0,0.0,3.64,0.0,0.0,0.0,0.0,0.0,4.96,11.4,0.0,0.0,12.14,0.0,24.57,48.52,0.0,0.0,0.0,0.0,132.83,-0.0,27.99,7984.59,40.55,40.55,40.55
2691,0.83,3.65,10.84,0.0,0.0,3.48,12.86,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,9.91,0.0,4.57,46.52,0.0,0.0,0.0,0.0,132.83,-0.0,15.21,7960.03,40.55,40.55,40.55
2692,0.88,3.54,10.29,0.0,0.0,3.44,12.86,0.0,0.0,0.0,0.0,4.96,10.27,0.0,-0.0,0.0,0.0,22.59,46.23,0.0,0.0,0.0,0.0,132.83,-0.0,4.78,7955.46,40.55,40.55,40.55
2693,0.85,3.31,10.22,1.75,0.0,3.45,12.3,0.0,0.0,0.0,0.0,4.96,11.4,0.0,0.0,0.0,0.0,24.57,48.24,0.0,0.0,0.0,0.0,132.83,-0.0,4.78,7932.88,40.55,40.55,40.55
2694,0.74,2.74,8.25,12.6,0.0,3.71,12.86,0.0,0.0,0.0,0.0,4.96,1.17,6.08,-0.0,0.0,0.0,6.62,53.1,0.0,0.0,0.0,0.0,132.83,-0.0,4.78,7908.31,40.55,40.55,40.55
2695,0.52,2.06,5.2,28.73,0.0,4.19,0.67,0.0,0.0,0.0,0.0,4.96,11.4,0.0,0.0,0.0,0.0,24.57,57.74,0.0,0.0,0.0,0.0,126.07,0.0,4.78,7901.69,40.55,40.55,40.55
2696,0.41,1.87,4.85,44.08,0.0,4.48,0.0,0.0,0.0,0.0,0.0,4.96,1.11,0.0,0.0,0.0,0.0,6.51,61.77,0.0,0.0,0.0,0.0,126.07,-0.0,4.78,7877.12,40.55,40.55,40.55
2697,0.39,1.95,5.79,55.94,0.0,4.46,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.0,4.57,64.44,0.0,0.0,9.05,0.0,126.07,-0.0,4.78,7870.61,34.67,34.67,34.67
2698,0.37,1.93,6.28,63.38,0.0,4.45,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.0,4.57,65.53,3.45,0.0,12.39,0.0,126.07,-0.0,12.93,7866.04,32.84,32.84,32.84
2699,0.41,1.91,6.51,66.15,0.0,4.27,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.0,4.57,66.01,5.79,0.0,12.39,0.0,129.18,-0.0,24.08,7861.48,32.84,32.84,32.84
2700,0.54,1.99,6.38,63.81,0.0,4.17,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.0,4.57,68.23,1.23,0.0,12.39,0.0,134.39,0.0,35.23,7856.91,32.84,32.84,32.84
2701,0.71,2.11,5.86,57.56,0.0,4.05,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,-0.0,0.0,0.0,4.57,71.71,0.0,0.0,3.53,0.0,135.5,0.0,46.37,7852.35,34.67,34.67,34.67
2702,0.87,2.39,5.45,47.18,0.0,3.84,0.0,0.0,0.0,0.0,0.0,4.96,9.72,0.0,0.0,0.0,0.0,21.61,74.41,0.0,0.0,0.0,0.0,135.5,0.0,49.55,7847.78,40.55,40.55,40.55
2703,1.02,2.7,5.55,33.62,0.0,3.72,10.96,0.0,0.0,0.0,0.0,4.96,11.4,0.0,0.0,0.0,0.0,24.57,73.94,0.0,0.0,0.0,0.0,135.5,0.0,49.55,7826.17,40.55,40.55,40.55
2704,1.24,3.22,6.69,19.43,0.0,3.88,12.86,0.0,0.0,0.0,0.0,4.96,11.4,7.2,0.0,0.5,0.0,24.57,71.38,0.0,0.0,0.0,0.0,135.5,0.0,49.55,7801.6,47.43,47.43,47.43
2705,1.49,3.91,9.09,6.73,0.0,3.99,12.86,0.0,0.0,0.0,0.0,4.96,11.4,7.2,0.0,6.81,0.0,24.57,68.44,0.0,0.0,0.0,0.0,127.5,0.0,49.03,7777.04,47.43,47.43,47.43
2706,1.67,4.72,13.11,0.49,0.0,4.15,12.86,0.0,0.0,0.0,0.0,4.96,11.4,7.2,0.0,8.81,0.0,24.57,69.37,0.0,0.0,0.0,0.0,119.5,0.0,41.86,7752.47,47.43,47.43,47.43
2707,1.73,5.25,16.96,0.0,0.0,4.38,12.86,0.0,0.0,0.0,0.0,4.96,11.4,3.74,0.0,12.39,0.0,24.57,73.66,0.0,0.0,0.0,0.0,111.5,0.0,32.58,7727.91,47.43,47.43,47.43
2708,1.67,5.4,19.31,0.0,0.0,4.52,12.86,0.0,0.0,0.0,0.0,4.96,11.4,5.35,0.0,7.83,0.0,24.57,73.28,0.0,0.0,0.0,0.0,107.34,0.0,19.54,7703.34,47.43,47.43,47.43
2709,1.5,5.2,20.51,0.0,0.0,4.41,12.86,0.0,0.0,0.0,0.0,4.96,11.4,7.2,0.0,3.69,0.0,24.57,71.73,0.0,0.0,0.0,0.0,101.4,0.0,11.31,7678.78,47.43,47.43,47.43
2710,1.33,4.87,21.22,0.0,0.0,4.34,12.86,0.0,0.0,0.0,0.0,4.96,11.4,6.2,0.0,0.0,0.0,24.57,67.17,0.0,0.0,0.0,0.0,93.4,0.0,7.42,7654.21,47.43,47.43,47.43
2711,1.22,4.67,21.83,0.0,0.0,4.27,12.86,0.0,0.0,0.0,0.0,4.96,11.4,3.98,0.0,0.0,0.0,24.57,65.18,0.0,0.0,0.0,0.0,86.51,0.0,7.42,7629.64,47.43,47.43,47.43
2712,1.16,4.59,22.26,0.0,0.0,4.04,12.86,0.0,0.0,0.0,0.0,4.96,11.4,0.76,-0.0,0.0,0.0,24.57,62.02,0.0,0.0,0.0,0.0,82.09,0.0,7.42,7605.08,47.43,47.43,47.43
2713,1.13,4.4,21.89,0.0,0.0,3.68,10.88,0.0,0.0,0.0,0.0,4.96,11.4,0.0,0.0,0.0,0.0,24.57,58.34,0.0,0.0,0.0,0.0,81.24,0.0,7.42,7580.51,40.55,40.55,40.55
2714,1.13,4.39,21.31,0.0,0.0,3.51,5.8,0.0,0.0,0.0,0.0,4.96,11.4,0.0,0.0,0.0,0.0,24.57,52.5,0.0,0.0,0.0,0.0,81.24,0.0,7.42,7555.95,40.55,40.55,40.55
2715,1.11,4.61,21.37,0.0,0.0,3.41,4.56,0.0,0.0,0.0,0.0,4.96,10.51,0.0,0.0,0.0,0.0,23.0,50.54,0.0,0.0,0.0,0.0,81.24,0.0,7.42,7531.38,40.55,40.55,40.55
2716,1.13,4.89,21.7,0.0,0.0,3.47,2.2,0.0,0.0,0.0,0.0,4.96,11.4,0.0,0.0,0.0,0.0,24.57,49.75,0.0,0.0,0.0,0.0,81.24,0.0,7.42,7508.38,40.55,40.55,40.55
2717,1.18,5.01,20.58,1.77,0.0,3.62,12.86,0.0,0.0,0.0,0.0,4.96,0.23,0.0,0.0,0.0,0.0,4.96,50.21,0.0,0.0,0.0,0.0,81.24,0.0,7.42,7483.81,40.55,40.55,40.55
2718,1.07,4.67,14.97,11.31,0.0,3.61,2.15,0.0,0.0,0.0,0.0,4.96,11.4,0.0,0.0,0.0,0.0,24.57,54.14,0.0,0.0,0.0,0.0,81.24,0.0,7.42,7478.85,40.55,40.55,40.55
2719,0.89,4.11,11.02,25.05,0.0,4.21,0.0,0.0,0.0,0.0,0.0,4.96,8.45,0.0,0.0,0.0,0.0,19.4,58.7,0.0,0.0,0.0,0.0,81.24,0.0,7.42,7454.28,40.55,40.55,40.55
2720,0.74,3.48,10.93,37.29,0.0,4.69,4.64,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.0,4.57,62.3,0.0,-0.0,4.44,0.0,81.24,0.0,7.42,7434.88,40.55,40.55,40.55
2721,0.57,2.97,10.92,46.55,0.0,4.85,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.0,4.57,64.47,0.0,0.0,6.37,0.0,81.24,0.0,11.41,7430.32,40.55,40.55,40.55
2722,0.41,2.25,9.9,52.02,0.0,4.78,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.0,4.57,65.2,0.0,0.0,9.1,0.0,81.24,0.0,17.15,7425.75,40.55,40.55,40.55
2723,0.31,1.57,8.68,53.99,0.0,4.67,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.0,4.57,65.41,0.0,0.0,8.76,0.0,81.24,0.0,25.34,7421.19,40.55,40.55,40.55
2724,0.35,1.19,7.97,51.04,0.0,4.53,0.0,0.0,0.0,0.0,0.0,4.96,9.3,0.0,0.0,0.0,0.0,20.89,67.02,0.0,0.0,12.32,0.0,81.24,0.0,33.22,7416.62,40.55,40.55,40.55
2725,0.42,1.16,7.62,44.87,0.0,4.58,4.54,0.0,0.0,0.0,0.0,4.96,2.4,0.0,0.0,0.0,0.0,8.77,70.56,0.0,0.0,0.0,0.0,81.24,0.0,44.31,7395.73,40.55,40.55,40.55
2726,0.5,1.41,7.21,36.36,0.0,4.39,12.86,0.0,0.0,0.0,0.0,4.96,11.4,0.0,0.0,0.0,0.0,24.57,73.26,0.0,0.0,5.83,0.0,81.24,0.0,44.31,7386.96,40.55,40.55,40.55
2727,0.55,1.71,6.55,27.12,0.0,4.18,12.86,0.0,0.0,0.0,0.0,4.96,11.4,3.8,0.0,0.0,0.0,24.57,73.12,0.0,0.0,0.0,0.0,81.24,0.0,49.55,7362.39,47.43,47.43,47.43
2728,0.61,1.99,5.68,16.74,0.0,3.98,12.86,0.0,8.2,0.0,4.67,4.96,11.4,7.2,0.0,0.57,0.0,24.57,70.65,0.0,0.0,0.0,0.0,77.02,0.0,49.55,7337.83,141.04,141.04,141.04
2729,0.69,2.29,5.18,6.64,0.0,4.0,12.86,0.0,14.29,0.0,8.15,4.96,11.4,7.2,0.0,4.34,0.0,24.57,67.69,0.0,0.0,0.0,0.0,69.02,0.0,48.95,7313.26,141.04,141.04,141.04
2730,0.82,2.82,6.42,0.61,0.0,4.08,12.86,0.0,14.29,0.0,8.15,4.96,11.4,7.2,0.0,9.29,0.0,24.57,68.6,0.0,0.0,0.0,0.0,61.02,0.0,44.38,7288.7,141.04,141.04,141.04
2731,0.92,3.15,8.13,0.0,0.0,4.38,12.86,0.0,14.29,0.0,8.15,4.96,11.4,7.2,0.0,11.53,0.0,24.57,72.68,0.0,0.0,0.0,0.0,53.02,0.0,34.6,7264.13,141.04,141.04,141.04
2732,0.97,3.1,9.27,0.0,0.0,4.82,12.86,0.0,14.29,0.0,8.15,4.96,11.4,7.2,0.0,9.59,0.0,24.57,72.31,0.0,0.0,0.0,0.0,45.02,0.0,22.46,7239.56,141.04,141.04,141.04
2733,1.0,2.93,9.65,0.0,0.0,4.86,12.86,0.0,14.29,0.0,8.15,4.96,11.4,7.2,0.0,8.15,0.0,24.57,71.16,0.0,0.0,0.0,0.0,37.02,0.0,12.37,7215.0,141.04,141.04,141.04
2734,1.1,2.93,10.2,0.0,0.0,4.51,12.86,0.0,14.29,0.0,8.15,4.96,11.4,7.2,0.0,3.51,0.0,24.57,66.81,0.0,0.0,0.0,0.0,29.02,0.0,3.79,7190.43,141.04,141.04,141.04
2735,1.35,3.39,11.11,0.0,0.0,4.45,12.86,0.0,14.29,0.0,8.15,4.96,11.4,7.2,0.0,0.09,0.0,24.57,64.96,0.0,0.0,0.0,0.0,21.02,0.0,0.09,7165.87,141.04,141.04,141.04
2736,1.57,3.98,12.46,0.0,0.0,4.22,12.86,0.0,5.2,0.0,2.97,4.96,11.4,7.2,0.0,0.0,0.0,24.57,61.61,0.0,0.0,0.0,0.0,13.02,0.0,0.0,7141.3,141.04,141.04,141.04
2737,1.56,3.97,14.47,0.0,0.0,3.98,12.86,0.0,0.0,0.0,0.0,4.96,11.4,4.52,0.0,0.0,0.0,24.57,57.71,0.0,0.0,0.0,0.0,5.02,0.0,0.0,7116.74,47.43,47.43,47.43
2738,1.59,3.56,16.15,0.0,0.0,3.63,10.94,0.0,0.0,0.0,0.0,4.96,11.4,0.0,0.0,0.0,0.0,24.57,52.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7092.17,40.55,40.55,40.55
2739,1.76,3.47,16.45,0.0,0.0,3.36,8.91,0.0,0.0,0.0,0.0,4.96,11.4,0.0,0.0,0.0,0.0,24.57,50.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7067.61,40.55,40.55,40.55
2740,1.92,3.95,16.14,0.0,0.0,3.26,7.81,0.0,0.0,0.0,0.0,4.96,11.4,0.0,0.0,0.0,0.0,24.57,49.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7043.04,40.55,40.55,40.55
2741,1.91,4.43,14.82,1.68,0.0,3.32,7.67,0.0,0.0,0.0,0.0,4.96,11.4,0.0,0.0,0.0,0.0,24.57,50.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7018.47,40.55,40.55,40.55
2742,1.77,4.44,10.54,10.42,0.0,3.26,7.2,0.0,0.0,0.0,0.0,4.96,11.4,0.0,0.0,0.0,0.0,24.57,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6993.91,40.55,40.55,40.55
2743,1.58,5.0,10.21,23.76,0.0,3.29,0.0,0.0,0.0,0.0,0.0,4.96,9.69,0.0,0.0,0.0,0.0,21.57,58.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6969.34,40.55,40.55,40.55
2744,1.28,5.29,10.99,37.43,0.0,3.3,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.0,4.57,62.03,1.22,0.0,0.0,0.0,0.0,0.0,0.0,6947.78,32.84,32.84,32.84
2745,0.98,4.86,11.58,47.81,0.0,3.56,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,-0.0,0.0,0.0,4.57,64.13,6.55,0.0,3.08,0.0,1.1,-0.0,0.0,6943.21,32.84,32.84,32.84
2746,0.85,4.74,12.31,54.43,0.0,3.71,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.0,4.57,64.93,6.55,0.0,9.51,0.0,6.99,-0.0,2.77,6938.64,32.84,32.84,32.84
2747,0.86,5.47,13.59,56.41,0.0,3.86,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.64,3.92,65.35,6.55,0.0,12.39,0.0,12.88,-0.0,11.33,6934.08,15.53,15.53,15.53
2748,0.96,6.21,15.66,56.39,0.0,3.98,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,1.92,2.65,66.65,6.55,0.0,12.39,0.0,18.78,0.0,22.48,6930.16,15.53,15.53,15.53
2749,1.13,6.99,17.35,53.56,0.0,4.01,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.0,4.57,70.32,6.55,0.0,11.15,0.0,24.67,0.0,33.63,6927.51,32.84,32.84,32.84
2750,1.35,8.31,19.23,44.85,0.0,3.63,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.0,4.57,73.15,2.66,0.0,6.54,0.0,30.56,0.0,43.67,6922.94,32.84,32.84,32.84
2751,1.45,9.19,20.58,31.75,0.0,3.49,0.0,0.0,0.0,0.0,0.0,4.96,1.59,0.0,0.0,0.0,0.0,7.35,73.01,0.0,0.0,0.0,0.0,32.96,0.0,49.55,6918.38,40.55,40.55,40.55
