COST,LCOH,LCOE_SYS1,LCOE_SYS2,STR_LOSS,LC
in billion euro,average cost of hydrogen (euros/kg),electricity cost per MWh produced (euros/MWh),electricity cost per MWh consumed (euros/MWh),yearly storage related loss in % of power production,load curtailment in % of power production
30.11,0.79,43.82,50.27,0.77,7.07
