1,1.89762004
2,2.18410266
3,1.65952997
4,0.98422158
5,1.19372007
6,1.17066246
7,0.92741998
8,0.84780888
9,1.03357719
10,1.3102381
11,1.09190504
12,1.0013804
13,1.89762004
14,2.18410266
15,1.65952997
16,0.98422158
17,1.19372007
18,1.17066246
19,0.92741998
20,0.84780888
21,1.03357719
22,1.3102381
23,1.09190504
24,1.0013804
25,1.89762004
26,2.18410266
27,1.65952997
28,0.98422158
29,1.19372007
30,1.17066246
31,0.92741998
32,0.84780888
33,1.03357719
34,1.3102381
35,1.09190504
36,1.0013804
37,1.89762004
38,2.18410266
39,1.65952997
40,0.98422158
41,1.19372007
42,1.17066246
43,0.92741998
44,0.84780888
45,1.03357719
46,1.3102381
47,1.09190504
48,1.0013804
49,1.89762004
50,2.18410266
51,1.65952997
52,0.98422158
53,1.19372007
54,1.17066246
55,0.92741998
56,0.84780888
57,1.03357719
58,1.3102381
59,1.09190504
60,1.0013804
61,1.89762004
62,2.18410266
63,1.65952997
64,0.98422158
65,1.19372007
66,1.17066246
67,0.92741998
68,0.84780888
69,1.03357719
70,1.3102381
71,1.09190504
72,1.0013804
73,1.89762004
74,2.18410266
75,1.65952997
76,0.98422158
77,1.19372007
78,1.17066246
79,0.92741998
80,0.84780888
81,1.03357719
82,1.3102381
83,1.09190504
84,1.0013804
85,1.89762004
86,2.18410266
87,1.65952997
88,0.98422158
89,1.19372007
90,1.17066246
91,0.92741998
92,0.84780888
93,1.03357719
94,1.3102381
95,1.09190504
96,1.0013804
97,1.89762004
98,2.18410266
99,1.65952997
100,0.98422158
101,1.19372007
102,1.17066246
103,0.92741998
104,0.84780888
105,1.03357719
106,1.3102381
107,1.09190504
108,1.0013804
