offshore_f,50.3
offshore_g,36
onshore,25
pv_g,8
pv_c,15
river,14.85
lake,11.375
nuc,115
ocgt,16.5
ccgt,40
phs,7.5
battery1,8.925
battery4,21
SC,3
biogas1,0
biogas2,0
electrolysis,5.25
h2_ccgt,40
hydrogen,0
